dataset,scenario,method,n_runs,ARI_median,ARI_q25,ARI_q75,ARI_mean,ARI_std,time_total_median_s
DLBCL,baseline,kmeans_euclid,20,-0.0026569819904453,-0.0026569819904453,-0.0026569819904453,-0.0026569819904453,0.0,0.0383717000950127
DLBCL,baseline,kmedoids_footrule,20,0.123355838720511,0.123355838720511,0.123355838720511,0.123355838720511,0.0,0.00365404994226985
DLBCL,baseline,kmedoids_kendall,20,0.1155521217696413,0.1155521217696413,0.1155521217696413,0.11555212176964132,0.0,0.30346309999004006
DLBCL,dropout,kmeans_euclid,20,-0.0027054679137469,-0.0035761495618236,-0.00186880304157785,-0.002772357740397705,0.0014682225615352156,0.0396652499912306
DLBCL,dropout,kmedoids_footrule,20,-0.0035616425375789504,-0.016325419551127925,0.0917930274045457,0.03658543702999733,0.06555537461761972,0.0039484500885009505
DLBCL,dropout,kmedoids_kendall,20,0.04143894183926225,-0.014686865883800426,0.11413164448503972,0.049672918602795726,0.06566163030965401,0.1758730500005185
DLBCL,noise,kmeans_euclid,20,-0.00144736649959485,-0.0026367831038798,-0.00033658615807248614,-0.0014070602728984995,0.0015743028909325145,0.04080195003189145
DLBCL,noise,kmedoids_footrule,20,-0.01151018980272545,-0.017068573894182627,0.015191461794025026,0.00629415744038712,0.038649241673133966,0.00397810002323235
DLBCL,noise,kmedoids_kendall,20,0.0421569487105439,-0.0177703844431286,0.10864745704106135,0.04914346922502799,0.07112304838816164,0.33544004999566823
DLBCL,scaling,kmeans_euclid,20,-0.00060471801414275,-0.0034002823528406748,0.0013422778176817,-2.5050720491910215e-05,0.004883262097763198,0.0338114999467507
DLBCL,scaling,kmedoids_footrule,20,0.123355838720511,0.123355838720511,0.123355838720511,0.123355838720511,0.0,0.0040763999568297505
DLBCL,scaling,kmedoids_kendall,20,0.1155521217696413,0.1155521217696413,0.1155521217696413,0.11555212176964132,0.0,0.3273824501084164
colon,baseline,kmeans_euclid,20,-0.0360981489767777,-0.0360981489767777,-0.0360981489767777,-0.0360981489767777,0.0,0.0245027999626472
colon,baseline,kmedoids_footrule,20,0.2887698858675455,0.2887698858675455,0.2887698858675455,0.2887698858675455,0.0,0.0026851000729948
colon,baseline,kmedoids_kendall,20,0.3252689391711548,0.3252689391711548,0.3252689391711548,0.3252689391711548,0.0,0.03482514992356295
colon,dropout,kmeans_euclid,20,-0.0360981489767777,-0.04125407578486552,-0.034993047322848046,-0.036038570633647224,0.007189760321337812,0.0244825498666614
colon,dropout,kmedoids_footrule,20,0.2887698858675455,0.2887698858675455,0.3252689391711548,0.3002316651875848,0.03459033386624474,0.0025361499283462
colon,dropout,kmedoids_kendall,20,0.30701941251935017,0.2878295821314479,0.3252689391711548,0.30125927847906725,0.05240497823893112,0.017287699971348
colon,noise,kmeans_euclid,20,-0.0360981489767777,-0.0360981489767777,-0.0360981489767777,-0.0360981489767777,0.0,0.02509024995379145
colon,noise,kmedoids_footrule,20,0.2875161475527487,0.25351471373980977,0.2887698858675455,0.27469248417971304,0.02937064165050273,0.0025864000199362002
colon,noise,kmedoids_kendall,20,0.2887698858675455,0.2626306274635909,0.3252689391711548,0.2962459249426218,0.038020930237228426,0.03350115008652205
colon,scaling,kmeans_euclid,20,-0.008853067168857899,-0.0121999580507585,0.016635294907358076,0.00199577303184061,0.0207837445558759,0.0249604500131681
colon,scaling,kmedoids_footrule,20,0.2887698858675455,0.2887698858675455,0.2887698858675455,0.2887698858675455,0.0,0.0027174999704584002
colon,scaling,kmedoids_kendall,20,0.3252689391711548,0.3252689391711548,0.3252689391711548,0.3252689391711548,0.0,0.0345582000445574
golub,baseline,kmeans_euclid,20,-0.0004923442005828,-0.0004923442005828,-0.0004923442005828,-0.0004923442005828,0.0,0.02497550006955855
golub,baseline,kmedoids_footrule,20,0.7863184974136261,0.7863184974136261,0.7863184974136261,0.7863184974136261,0.0,0.00265405001118775
golub,baseline,kmedoids_kendall,20,0.8897376246013528,0.8897376246013528,0.8897376246013528,0.8897376246013528,0.0,0.048754900111816754
golub,dropout,kmeans_euclid,20,0.00597865482401525,-0.0094292327683113,0.0186013744641149,0.0088071075666824,0.020610647942963627,0.0248585998779162
golub,dropout,kmedoids_footrule,20,0.8634619274296923,0.7859115916296633,0.8899470614019218,0.8345160333672071,0.09705739545789138,0.0027834000065922503
golub,dropout,kmedoids_kendall,20,0.8897376246013528,0.8503240788438621,0.8900168736687781,0.8798092709357148,0.04846409705813633,0.02539460000116375
golub,noise,kmeans_euclid,20,0.0294988620407799,-0.0004923442005828,0.0443539602101871,0.0250520091537352,0.024631148681954144,0.025204450124874697
golub,noise,kmedoids_footrule,20,0.7614138070073944,0.7365091166011627,0.7863184974136261,0.7766950960765022,0.05260939603223683,0.0026909000007435003
golub,noise,kmedoids_kendall,20,0.8371862302580318,0.7990354306247276,0.8371862302580318,0.827455251192128,0.04700746071137321,0.050591749954037354
golub,scaling,kmeans_euclid,20,-0.0121531026739027,-0.0121531026739027,-0.0074635902290815,-0.00902676104402192,0.0060765158835623416,0.024793649907223853
golub,scaling,kmedoids_footrule,20,0.7863184974136261,0.7863184974136261,0.7863184974136261,0.7863184974136261,0.0,0.0027481499128043
golub,scaling,kmedoids_kendall,20,0.8897376246013528,0.8897376246013528,0.8897376246013528,0.8897376246013528,0.0,0.04892794997431335
